"","city","latitude","longitude","price"
"1","Kraków",50.077778,19.784722,12
"2","Eindhoven",51.45,5.374444,12
"3","City of Brussels",50.459167,4.453889,12
"4","Paris",49.454444,2.112778,12
"5","Bologna",44.530833,11.296944,15
"6","Edinburgh",55.95,-3.3725,19
"7","Pisa",43.682778,10.395556,20
"8","Rome",41.798889,12.595,20
"9","London",51.885,0.235,20
"10","Amman",31.7225,35.993333,20
"11","Marrakesh",31.606944,-8.036389,20
"12","Budapest",47.436944,19.255556,22
"13","Nuremberg",49.498611,11.066944,22
"14","Oslo",59.186667,10.258611,22
"15","Banja Luka",44.941389,17.2975,23
"16","Faro",37.014444,-7.965833,23
"17","Copenhagen",55.620278,12.650278,23
"18","Lamezia Terme",38.908333,16.241667,23
"19","Nador",34.988889,-3.028333,23
"20","Lisbon",38.774167,-9.134167,23
"21","Toulouse",43.635,1.367778,23
"22","Carcassonne",43.215833,2.308611,23
"23","Perpignan",42.740833,2.869722,23
"24","Turin",45.2025,7.649444,23
"25","Biarritz",43.468333,-1.531111,23
"26","Santander",43.426944,-3.82,23
"27","Bordeaux",44.828611,-0.715278,23
"28","Wrocław",51.102778,16.885833,23
"29","Marseille",43.436667,5.215,23
"30","Valencia",39.489444,-0.481667,23
"31","Nîmes",43.7575,4.416389,23
"32","Montpellier",43.583333,3.961389,23
"33","Stockholm",58.788611,16.912222,23
"34","Dublin",53.421389,-6.27,23
"35","Venice",45.650833,12.197778,23
"36","Ancona",43.616667,13.360278,23
"37","Girona",41.900833,2.760556,23
"38","Milan",45.668889,9.700278,23
"39","Palma, Majorca",39.551667,2.738889,23
"40","Malta",35.8575,14.4775,23
"41","Málaga",36.675,-4.499167,23
"42","Berlin",52.559722,13.287778,26
"43","Las Palmas",27.931944,-15.386667,27
"44","Bari",41.138056,16.765,27
"45","Madrid",40.493611,-3.566667,27
"46","Barcelona",41.296944,2.078333,27
"47","Porto",41.235556,-8.678056,27
"48","Zaragoza",41.666111,-1.041667,27
"49","Warsaw",52.451111,20.651667,27
"50","Iași",47.178611,27.620556,29
"51","Katowice",50.474167,19.08,29
"52","Liverpool",53.333611,-2.849722,29
"53","Manchester",53.353611,-2.275,29
"54","Naples",40.884444,14.290833,29
"55","Athens",37.936389,23.944444,29
"56","Ljubljana",46.223611,14.4575,29
"57","Fes",33.927222,-4.978056,29
"58","Dortmund",51.518333,7.612222,29
"59","Birmingham",52.453611,-1.747778,29
"60","Nottingham",52.831111,-1.328056,29
"61","Seville",37.418056,-5.893056,29
"62","Frankfurt",50.033056,8.570556,29
"63","Cologne",50.865833,7.142778,29
"64","Kiev",50.345,30.894722,30
"65","Tours",47.431944,0.723056,30
"66","Ibiza",38.872778,1.373056,31
"67","Szymany, Szczytno County",53.480556,20.937222,32
"68","Derry",55.042778,-7.161111,32
"69","Comiso",36.994722,14.606944,33
"70","Aarhus",56.303889,10.619444,33
"71","Cork",51.841389,-8.491111,33
"72","Belfast",54.6575,-6.215833,33
"73","Bergerac",44.824444,0.520556,33
"74","Bremen",53.0475,8.786667,33
"75","Limoges",45.860833,1.180278,33
"76","Poitiers",46.5875,0.306667,33
"77","County Kerry",52.180833,-9.523889,33
"78","Nantes",47.156944,-1.607778,33
"79","Murcia",37.775,-0.8125,33
"80","Luxembourg City",49.623333,6.204444,33
"81","Poznań",52.421111,16.826389,33
"82","Gothenburg",57.662778,12.279722,33
"83","Shannon, County Clare",52.701944,-8.924722,33
"84","Billund",55.740278,9.151667,33
"85","Podgorica",42.359444,19.251944,33
"86","La Rochelle",46.179167,-1.195278,33
"87","Aalborg",57.092778,9.849167,33
"88","Pardubice",50.013333,15.738611,33
"89","Bydgoszcz",53.096667,17.977778,33
"90","Knock, County Mayo",53.910278,-8.818611,33
"91","Castellón de la Plana",40.214167,0.073333,33
"92","Jerez de la Frontera",36.744722,-6.06,33
"93","Nice",43.665278,7.215,33
"94","Memmingen",47.988056,10.2375,34
"95","Lviv",49.8125,23.956111,34
"96","Bratislava",48.170278,17.212778,35
"97","Tenerife",28.044444,-16.5725,35
"98","Vilnius",54.634167,25.285833,35
"99","Fuerteventura",28.452778,-13.863889,35
"100","Lanzarote",28.945556,-13.605278,35
"101","Lille",50.563333,3.086944,35
"102","Alghero",40.630278,8.289722,35
"103","Ostrava",49.696111,18.111111,35
"104","Gdańsk",54.3775,18.466111,35
"105","Glasgow",55.871944,-4.433333,35
"106","Pescara",42.431667,14.186667,35
"107","Leeds",53.865833,-1.660556,35
"108","Cagliari",39.251389,9.057778,35
"109","Bournemouth",50.78,-1.8425,35
"110","Hamburg",53.630278,9.988333,35
"111","Düsseldorf",51.289444,6.766667,35
"112","Bristol",51.3825,-2.718889,35
"113","Timișoara",45.81,21.337778,35
"114","Bucharest",44.572222,26.102222,35
"115","Kaunas",54.963889,24.084722,35
"116","Newcastle upon Tyne",55.0375,-1.691667,35
"117","Brest",48.447222,-4.421667,35
"118","Catania",37.466667,15.063889,35
"119","Trapani",37.9075,12.494167,36
"120","Perugia",43.097222,12.510278,36
