,code,lat,lon
0,AAA,-17.3595,-145.494
1,AAE,36.8236,7.8103
2,AAL,57.0952,9.85606
3,AAM,-24.8,31.5333
4,AAN,24.25,55.75
5,AAQ,44.9,37.3167
6,AAR,56.3088,10.6154
7,AAT,47.7406,88.0845
8,AAX,-19.5603,-46.9653
9,AAY,16.1947,52.1694
10,ABA,53.7167,91.4333
11,ABC,38.9833,-1.85
12,ABD,30.3374,48.3032
13,ABE,40.6514,-75.4342
14,ABI,32.4164,-99.6803
15,ABJ,5.2556,-3.9292
16,ABK,6.73719,44.2797
17,ABL,67.1058,-157.854
18,ABM,-10.9438,142.453
19,ABQ,35.0494,-106.625
20,ABR,45.4536,-98.4189
21,ABS,22.3722,31.6125
22,ABT,20.2961,41.6342
23,ABV,9.0056,7.2661
24,ABX,-36.0678,146.956
25,ABY,31.5328,-84.1867
26,ABZ,57.2004,-2.20373
27,ACA,16.7561,-99.7536
28,ACC,5.5964,-0.17
29,ACE,28.9521,-13.6085
30,ACH,47.4887,9.55376
31,ACI,49.7134,-2.22089
32,ACK,41.2568,-70.0649
33,ACP,68.1609,-151.696
34,ACS,47.7006,18.0064
35,ACT,31.609,-97.2234
36,ACV,40.9698,-124.108
37,ACX,25.0887,104.89
38,ACY,39.4512,-74.5716
39,ACZ,31.0385,61.4962
40,ADA,36.9811,35.2803
41,ADB,38.32,27.1603
42,ADD,8.9783,38.8011
43,ADE,12.8278,45.0306
44,ADF,37.8099,38.3357
45,ADJ,31.973,35.9822
46,ADK,51.88,-176.639
47,ADL,-34.9464,138.529
48,ADQ,57.7545,-152.512
49,ADU,38.2465,48.2951
50,ADX,56.377,-2.86117
51,ADZ,12.5811,-81.7092
52,AEH,13.8486,20.8472
53,AEP,-34.5617,-58.4113
54,AER,43.447,39.9552
55,AES,62.5607,6.11129
56,AET,66.55,-152.65
57,AEX,31.323,-92.5417
58,AEY,65.6561,-18.0923
59,AFA,-34.5886,-68.4028
60,AFL,-9.8661,-56.1044
61,AFS,41.6136,64.2331
62,AFT,-9.18333,160.95
63,AFZ,36.1903,57.7094
64,AGA,30.3833,-9.55
65,AGF,44.1736,0.59223
66,AGH,56.2873,12.8675
67,AGL,-9.33333,149.15
68,AGM,65.6667,-37.6667
69,AGN,57.4996,-134.577
70,AGP,36.6749,-4.49298
71,AGR,27.1632,77.9788
72,AGS,33.3735,-81.9732
73,AGT,-25.5266,-54.6226
74,AGU,21.7047,-102.317
75,AGV,9.55194,-69.2367
76,AGX,10.8415,72.175
77,AHB,18.24,42.6556
78,AHC,40.2664,-120.151
79,AHE,-14.5,-1.3
80,AHO,40.6319,8.29279
81,AHS,15.4534,-84.4041
82,AHU,35.1781,-3.8383
83,AIA,42.0622,-102.81
84,AIN,70.6139,-159.857
85,AIT,-18.8299,-159.765
86,AIU,-20.0333,-158.1
87,AJA,41.9204,8.79778
88,AJF,29.7897,40.1039
89,AJI,39.7239,43.0618
90,AJL,23.7361,92.8083
91,AJN,-12.2234,44.3709
92,AJR,65.592,19.2647
93,AJU,-10.985,-37.0733
94,AKA,32.7026,108.912
95,AKB,52.2217,-174.204
96,AKF,24.1819,23.3189
97,AKI,60.8866,-161.218
98,AKJ,43.665,142.453
99,AKK,56.95,-154.167
100,AKL,-37.0085,174.782
101,AKN,58.6775,-156.655
102,AKP,68.1916,-151.79
103,AKS,-27.6667,27.3167
104,AKU,41.171,80.1982
105,AKV,60.8142,-78.1509
106,AKX,50.2362,57.2115
107,AKY,20.1303,92.8803
108,ALA,43.3608,77.0319
109,ALB,42.7426,-73.809
110,ALC,38.2844,-0.5576
111,ALF,69.9793,23.3571
112,ALG,36.6993,3.21935
113,ALH,-34.9447,117.808
114,ALM,32.8407,-105.994
115,ALO,42.5509,-92.3951
116,ALP,36.1808,37.2267
117,ALS,37.4444,-105.865
118,ALW,46.0879,-118.283
119,ALY,31.1845,29.9491
120,ALZ,56.8988,-154.246
121,AMA,35.2177,-101.706
122,AMD,23.0728,72.6328
123,AMH,6.01327,37.5405
124,AMI,-8.562,116.098
125,AMM,31.7231,35.9936
126,AMQ,-3.7067,128.078
127,AMS,52.3122,4.77511
128,AMV,69.7638,61.5586
129,AMY,38.4819,-100.608
130,ANC,61.1767,-149.961
131,ANE,47.5603,-0.312222
132,ANF,-23.44,-70.4419
133,ANG,45.7274,0.21835
134,ANI,61.5742,-159.535
135,ANM,-18.7772,46.8543
136,ANR,51.1896,4.45236
137,ANU,17.1375,-61.79
138,ANV,62.65,-160.217
