,code,lat,lon,city,name
0,AAA,-17.3595,-145.494,Anaa,Anaa Airport
1,AAE,36.8236,7.8103,El Tarf,El Mellah Airport
2,AAL,57.0952,9.85606,Norresundby,Aalborg Airport
3,AAM,-24.8,31.5333,Mala Mala,Mala Mala
4,AAN,24.25,55.75,Ayn al Faydah,Al Ain Airport
5,AAQ,44.9,37.3167,Novorossiysk,Olkhovka Airport
6,AAR,56.3088,10.6154,Kolind,Tirstrup Airport
7,AAT,47.7406,88.0845,Altay,Altay Airport
8,AAX,-19.5603,-46.9653,Araxá,Romeu Zuma Airport
9,AAY,16.1947,52.1694,Al Ghaydah,Al Gaidah Airport
10,ABA,53.7167,91.4333,Abakan,Abakan
11,ABC,38.9833,-1.85,Albacete,Los Llanos
12,ABD,30.3374,48.3032,Abadan,Abadan
13,ABE,40.6514,-75.4342,Allentown,Lehigh Valley International Airport
14,ABI,32.4164,-99.6803,Abilene,Abilene Regional Airport
15,ABJ,5.2556,-3.9292,Abidjan,Abidjan Port Bouet Airport
16,ABK,6.73719,44.2797,Kabri Dar,Kabri Dar
17,ABL,67.1058,-157.854,Kiana,Ambler Airport
18,ABM,-10.9438,142.453,Seisia,Bamaga Airport
19,ABQ,35.0494,-106.625,Albuquerque,Albuquerque International Airport
20,ABR,45.4536,-98.4189,Aberdeen,Aberdeen Regional Airport
21,ABS,22.3722,31.6125,Abu Simbel,Abu Simbel Airport
22,ABT,20.2961,41.6342,Al Aqiq,Al Baha Airport
23,ABV,9.0056,7.2661,Gwagwa,Abuja International Airport
24,ABX,-36.0678,146.956,Albury,Albury Airport
25,ABY,31.5328,-84.1867,Albany,Southwest Georgia Regional Airport
26,ABZ,57.2004,-2.20373,Aberdeen,Aberdeen Dyce International Airport
27,ACA,16.7561,-99.7536,Acapulco,General Juan N Alvarez International Airport
28,ACC,5.5964,-0.17,Accra,Kotoka International Airport
29,ACE,28.9521,-13.6085,San Bartolomé,Arrecife Airport
30,ACH,47.4887,9.55376,Altenrhein,Altenrhein Airport
31,ACI,49.7134,-2.22089,St. Peter Port,The Blaye Airport
32,ACK,41.2568,-70.0649,Nantucket,Nantucket Memorial Airport
33,ACP,68.1609,-151.696,Sahand,Sahand Airport
34,ACS,47.7006,18.0064,Achinsk,Achinsk
35,ACT,31.609,-97.2234,Waco,Waco Regional Airport
36,ACV,40.9698,-124.108,Mckinleyville,Arcata Airport
37,ACX,25.0887,104.89,Xingyi,Xingyi
38,ACY,39.4512,-74.5716,Egg Harbor City,Atlantic City International Airport
39,ACZ,31.0385,61.4962,Zabol,Zabol A/P
40,ADA,36.9811,35.2803,Adana,Sakirpasa Airport
41,ADB,38.32,27.1603,Azmir,Gaziemir Airport
42,ADD,8.9783,38.8011,Addis Ababa,Bole International Airport
43,ADE,12.8278,45.0306,Ash Shaykh Uthman,Aden International Airport
44,ADF,37.8099,38.3357,Adiyaman,Adiyaman Airport
45,ADJ,31.973,35.9822,Amman,Al Matar Airport
46,ADK,51.88,-176.639,Adak,Adak Airport
47,ADL,-34.9464,138.529,Adelaide,Adelaide International Airport
